,query,date,id,user,text,geo
0,Colombia -filter:retweets,2021-09-02 06:52:29,1433321915863666691,DrEricDing,"📍The @WHO is monitoring a new coronavirus variant called ""mu."" It has mutations that have the “potential to evade i… https://t.co/bEdZEkLnJi",
1,Colombia -filter:retweets,2021-09-02 03:39:44,1433273409178423297,VarskySports,"HOY
ELIMINATORIAS CONMEBOL (Hora 🇦🇷)

⌚️17-Bolivia🇧🇴🆚Colombia🇨🇴
⌚️18-Ecuador🇪🇨🆚 Paraguay🇵🇾
⌚️21-Venezuela🇻🇪🆚Argenti… https://t.co/UsWK0NCvQC",
2,Colombia -filter:retweets,2021-09-01 21:40:59,1433183127413792770,newsmax,"The World Health Organization says it is monitoring a new vaccine-resistant variant of COVID-19 called ""mu"" that ap… https://t.co/iiQVrUJwUB",
3,Colombia -filter:retweets,2021-09-03 08:00:00,1433701294687014923,Synthesia_UK,The volunteer action to collect plastics # from Synthesia Colombia in Cartagena de Indias (Colombia) involved 40 pe… https://t.co/sq8QNiUaxX,
4,Colombia -filter:retweets,2021-09-03 07:57:05,1433700560520237065,placebodelbo,"Mi médico
-Where are you from?
-Colombia
-What are you doing in Vienna, this city is almost dead!
-…😀*

*A ver, abu… https://t.co/33QQGkR9s9",
5,Colombia -filter:retweets,2021-09-03 07:55:56,1433700272606433283,Suni_kook1,"@jmygmochis @BTS_twt @965TDY Colombia

I vote BTS (@BTS_twt) as the #ArtistoftheSummer @965TDY",
6,Colombia -filter:retweets,2021-09-03 07:54:48,1433699988832276480,marcomfusionte1,Biscuit Over Wrapping Machine Offered By FusionTech International In Briceño Colombia - FusionTech International Co… https://t.co/buTN1EUcvy,
7,Colombia -filter:retweets,2021-09-03 07:54:39,1433699950068650006,GCarbonnierICRC,Violence against healthcare has escalated with the C-19 pandemic. @CICR_co has launched a public campaign across… https://t.co/EisXAmMleu,
8,Colombia -filter:retweets,2021-09-03 07:54:25,1433699889641181187,marcomfusionte1,https://t.co/ammsV4xDj3 Perforation Blade Slitter Blade offered by FusionTech International in Betulia Colombia… https://t.co/6l1L2uCkAU,
9,Colombia -filter:retweets,2021-09-03 07:54:20,1433699871404531712,GetGlobalNet,#NowPlaying on SoMetro Radio -  This Time by Kiara (with Shanice Wilson) | Thanks to our listeners in the Philippin… https://t.co/zNjxXwnWdT,
10,Colombia -filter:retweets,2021-09-03 07:53:45,1433699724138360832,DiogoJotaFC20,"Hopefully Chile can turn this around and it's Brazil, Argentina, Chile, Uruguay going through as it should be with… https://t.co/Y2MR6LILzZ",
11,Colombia -filter:retweets,2021-09-03 07:53:36,1433699686662033410,marcomfusionte1,Polly Bag D Cut Hole Punching Machine Offered By FusionTech International In Betania Colombia - FusionTech Internat… https://t.co/64sfRsrAFF,
12,Colombia -filter:retweets,2021-09-03 07:52:32,1433699417673060366,fabianc_1990,@CoreyMSchafer god bless you corey. You Govea me the knowledge that i actually use for my daily Job. You have a rea… https://t.co/rH60UbxUC0,
13,Colombia -filter:retweets,2021-09-03 07:51:37,1433699185962848262,MikSpamsL2,Need Colombia to drop points against Paraguay and Ecuador to drop points against Chile. https://t.co/pg7AmpMSVq,
14,Colombia -filter:retweets,2021-09-03 07:50:10,1433698819963768843,fnfstudio,Thanks for your support - Colombia,
15,Colombia -filter:retweets,2021-09-01 21:40:31,1433183010610941955,then24dotcom,"After fleeing Colombia due to threats, Carlos Caicedo presented his case to the European Commission https://t.co/bRUmA5l5EB",
16,Colombia -filter:retweets,2021-09-01 21:40:13,1433182933217648640,WOWT6News,"Overall, cases of the mu variant have dropped globally, but officials are concerned that its “prevalence in Colombi… https://t.co/8jvZqyZP0V",
