,query,date,id,user,text,geo
31,Colombia -filter:retweets,2021-09-01 15:12:46,1433085428836540418,_BIGJohnDon_,NGL questioning the vaccine but getting a BBL in Colombia wild,
32,Colombia -filter:retweets,2021-09-01 15:12:30,1433085362201583621,SoMetroRadio,"SoMetro Radio #nowplaying - See Me by @LeelaJames | Thanks to our listeners in the Philippines, Colombia and Brazil… https://t.co/Bi3WLUXZn0",
33,Colombia -filter:retweets,2021-09-01 15:12:14,1433085297311498240,GetGlobalNet,"#NowPlaying on SoMetro Radio -  Where Did I Go Wrong by Heatwave | Thanks to our listeners in the Philippines, Colo… https://t.co/ereULZAULf",
34,Colombia -filter:retweets,2021-09-01 15:12:06,1433085259675947008,AndyVermaut,"WHO monitoring new coronavirus variant named Mu, first identified in Colombia, says its mutations ""indicate potenti… https://t.co/8sqDdG6nFG",
35,Colombia -filter:retweets,2021-09-01 15:10:37,1433084890447294465,BlomoOfficial,"10th of September! 🔥
PASOS EP! 💯

Give love to this baby, 
save it now on Spotify! Link in bio ❤️
.
.
.
.
#blomo… https://t.co/usBW6Kyu1E",
36,Colombia -filter:retweets,2021-09-01 15:10:25,1433084837913628673,elpaisabar,"This is something that makes us very proud. We are a very patriotic Bar, that's why we like to show you a little pi… https://t.co/L0uc6EPorg",
37,Colombia -filter:retweets,2021-09-01 15:09:55,1433084711711150081,ClickySound,"#latestnews WHO monitoring new coronavirus variant named Mu, first identified in Colombia, says its mutations ""indi… https://t.co/GTDGTOBJMG",
38,Colombia -filter:retweets,2021-09-01 15:09:55,1433084711111364608,ClickySound,"#latestnews WHO monitoring new coronavirus variant named Mu, first identified in Colombia, says its mutations ""indi… https://t.co/10BkK64LVi",
39,Colombia -filter:retweets,2021-09-01 15:08:54,1433084457188200453,CelestinoGutirr,"@pferrada1 @InovaHealth @SurgeryInova @InovaFFXTrauma1 Congratulations 🌹✌️
It is an oportunity well deserved in you… https://t.co/GomjvvmC6c",
40,Colombia -filter:retweets,2021-09-01 15:08:20,1433084313453666306,RubioSoccer35,Lots of rumors out of Colombia saying that Darwin Quintero could be signing with Deportivo Pereira. Doesn’t make se… https://t.co/fTsnhJ0Dy4,
41,Colombia -filter:retweets,2021-09-01 15:07:57,1433084217836060673,KleimanIntCon,#EmergingMarkets high-yield sovereign bonds +1% v global index -0.5% August https://t.co/Z9Xnalr4Kf. #SouthAfrica/… https://t.co/SRehJ4Z7KV,
42,Colombia -filter:retweets,2021-09-01 15:07:17,1433084049753444354,kenyannews_,"WHO watches Mu. Variant prevalence grows in Colombia and Ecuador
https://t.co/hUuEXtUhhR",
43,Colombia -filter:retweets,2021-09-01 15:06:21,1433083814042120193,SoMetroRadio,"SoMetro Radio #nowplaying - When You Love Somebody by @NiecyOfficial | Thanks to our listeners in the Philippines,… https://t.co/CWHOjdoFxP",
44,Colombia -filter:retweets,2021-09-01 15:06:15,1433083788444192770,cruz1_nicolas,"Let's have some fun together! 
Hey, I'm online @Stripchat. Come join me 👉 
https://t.co/j5wVEYv3ba #stripchat… https://t.co/nAbndV9gk6",
45,Colombia -filter:retweets,2021-09-01 15:05:49,1433083681191596039,IndiaToday,"The #WHO has classified a new #coronavirus variant -- ""Mu"" -- which was first identified in Colombia in January thi… https://t.co/82cw7Ysxj3",
46,Colombia -filter:retweets,2021-09-01 15:05:40,1433083644453793792,NYTScience,A small advance team had spent days conducting censuses of birds and bird song to better understand the composition… https://t.co/IaFLYLcEMu,
47,Colombia -filter:retweets,2021-09-01 15:03:52,1433083189841518594,TSM_Myth,Mythical from Colombia 😄 https://t.co/2qpW1whsvj,
48,Colombia -filter:retweets,2021-09-01 15:03:03,1433082983557238788,Magnotus,"@WOLA_org Help Colombia and the world denouncing the Narcoparamilitary drug lord Alvaro Uribe Velez, protected by t… https://t.co/cU9vzrZMMh",
49,Colombia -filter:retweets,2021-09-01 15:03:01,1433082974543695880,tEconomics,Manufacturing PMI in Colombia decreased to 53.20 points in August from 54.20 points in July of 2021.… https://t.co/NyNQocpcnF,
50,Colombia -filter:retweets,2021-09-01 15:02:36,1433082870357282826,sottxshells,colombia  I vote for Louis Tomlinson (@Louis_Tomlinson) for #ArtistoftheSummer @965TDY,
51,Colombia -filter:retweets,2021-09-01 15:02:26,1433082828313530369,ftsaintpablo,@colombia_alabon if it had less fillers it would be no 1 imo,
